,Date/Time (LST),Temp (degC),Rel Hum (%),Precip. Amount (mm),Stn Press (kPa),Wind Spd (km/h)
0,2018-01-01 00:00,-24.5,70.0,,101.7,8.0
1,2018-01-01 01:00,-24.7,69.0,,101.71,6.0
2,2018-01-01 02:00,-24.2,68.0,,101.72,5.0
3,2018-01-01 03:00,-24.5,68.0,,101.74,6.0
4,2018-01-01 04:00,-25.6,72.0,,101.75,6.0
5,2018-01-01 05:00,-26.1,73.0,,101.73,8.0
6,2018-01-01 06:00,-26.6,74.0,,101.73,8.0
7,2018-01-01 07:00,-26.8,74.0,,101.74,10.0
8,2018-01-01 08:00,-27.4,75.0,,101.77,9.0
9,2018-01-01 09:00,-26.1,70.0,,101.76,9.0
10,2018-01-01 10:00,-24.9,65.0,,101.8,16.0
11,2018-01-01 11:00,-23.3,61.0,,101.75,16.0
12,2018-01-01 12:00,-22.4,59.0,,101.68,19.0
13,2018-01-01 13:00,-21.3,57.0,,101.63,19.0
14,2018-01-01 14:00,-20.6,55.0,,101.59,19.0
15,2018-01-01 15:00,-20.1,53.0,,101.59,16.0
16,2018-01-01 16:00,-20.5,54.0,,101.58,10.0
17,2018-01-01 17:00,-21.6,59.0,,101.57,10.0
18,2018-01-01 18:00,-22.3,62.0,,101.59,8.0
19,2018-01-01 19:00,-22.6,65.0,,101.58,9.0
20,2018-01-01 20:00,-23.1,68.0,,101.58,8.0
21,2018-01-01 21:00,-23.7,70.0,,101.57,9.0
22,2018-01-01 22:00,-25.3,75.0,,101.58,9.0
23,2018-01-01 23:00,-25.1,74.0,,101.57,10.0
24,2018-01-02 00:00,-28.6,79.0,,101.57,7.0
25,2018-01-02 01:00,-29.7,77.0,,101.57,7.0
26,2018-01-02 02:00,-26.0,75.0,,101.59,8.0
27,2018-01-02 03:00,-28.9,76.0,,101.6,7.0
28,2018-01-02 04:00,-28.9,76.0,,101.61,9.0
29,2018-01-02 05:00,-26.4,74.0,,101.6,7.0
30,2018-01-02 06:00,-29.5,75.0,,101.6,8.0
31,2018-01-02 07:00,-28.9,76.0,,101.57,5.0
32,2018-01-02 08:00,-26.8,78.0,,101.54,7.0
33,2018-01-02 09:00,-26.1,78.0,,101.49,9.0
34,2018-01-02 10:00,-25.2,77.0,,101.43,10.0
35,2018-01-02 11:00,-23.6,74.0,,101.37,10.0
36,2018-01-02 12:00,-22.6,74.0,,101.12,4.0
37,2018-01-02 13:00,-21.6,76.0,,100.94,0.0
38,2018-01-02 14:00,-20.7,76.0,,100.84,7.0
39,2018-01-02 15:00,-20.1,78.0,,100.79,5.0
40,2018-01-02 16:00,-19.6,79.0,,100.74,5.0
41,2018-01-02 17:00,-19.2,80.0,,100.7,4.0
42,2018-01-02 18:00,-18.9,80.0,,100.71,5.0
43,2018-01-02 19:00,-18.5,81.0,,100.77,4.0
44,2018-01-02 20:00,-18.2,81.0,,100.74,4.0
45,2018-01-02 21:00,-18.0,81.0,,100.71,0.0
46,2018-01-02 22:00,-19.2,82.0,,100.72,0.0
47,2018-01-02 23:00,-18.1,82.0,,100.78,7.0
48,2018-01-03 00:00,-17.8,81.0,,100.81,6.0
49,2018-01-03 01:00,-17.6,81.0,,100.83,4.0
50,2018-01-03 02:00,-18.1,81.0,,100.88,8.0
51,2018-01-03 03:00,-17.9,81.0,,100.96,5.0
52,2018-01-03 04:00,-18.3,81.0,,100.93,8.0
53,2018-01-03 05:00,-18.2,80.0,,100.96,9.0
54,2018-01-03 06:00,-18.5,80.0,,101.0,9.0
55,2018-01-03 07:00,-18.5,80.0,,101.04,7.0
56,2018-01-03 08:00,-18.1,80.0,,101.05,10.0
57,2018-01-03 09:00,-17.7,79.0,,101.07,8.0
58,2018-01-03 10:00,-17.1,79.0,,101.06,11.0
59,2018-01-03 11:00,-16.8,79.0,,101.01,9.0
60,2018-01-03 12:00,-16.2,78.0,,100.94,12.0
61,2018-01-03 13:00,-15.8,78.0,,100.84,7.0
62,2018-01-03 14:00,-15.0,78.0,,100.8,7.0
63,2018-01-03 15:00,-14.8,79.0,,100.81,8.0
64,2018-01-03 16:00,-14.8,81.0,,100.78,7.0
65,2018-01-03 17:00,-15.4,82.0,,100.75,0.0
66,2018-01-03 18:00,-14.8,81.0,,100.76,6.0
67,2018-01-03 19:00,-14.8,82.0,,100.8,7.0
68,2018-01-03 20:00,-14.7,83.0,,100.84,0.0
69,2018-01-03 21:00,-14.8,84.0,,100.78,9.0
70,2018-01-03 22:00,-15.2,84.0,,100.8,8.0
71,2018-01-03 23:00,-14.9,84.0,,100.78,12.0
72,2018-01-04 00:00,-14.8,84.0,,100.66,13.0
73,2018-01-04 01:00,-14.6,84.0,,100.62,5.0
74,2018-01-04 02:00,-14.3,85.0,,100.64,8.0
75,2018-01-04 03:00,-13.8,85.0,,100.59,8.0
76,2018-01-04 04:00,-13.5,85.0,,100.5,9.0
77,2018-01-04 05:00,-13.0,85.0,,100.5,8.0
78,2018-01-04 06:00,-12.9,85.0,,100.4,8.0
79,2018-01-04 07:00,-12.3,85.0,,100.33,7.0
80,2018-01-04 08:00,-12.4,86.0,,100.32,4.0
81,2018-01-04 09:00,-11.5,85.0,,100.12,5.0
82,2018-01-04 10:00,-10.5,83.0,,100.13,7.0
83,2018-01-04 11:00,-9.5,80.0,,100.01,5.0
84,2018-01-04 12:00,-8.7,80.0,,99.89,9.0
85,2018-01-04 13:00,-8.1,85.0,,99.71,7.0
86,2018-01-04 14:00,-7.4,83.0,,99.55,16.0
87,2018-01-04 15:00,-7.0,76.0,,99.39,16.0
88,2018-01-04 16:00,-7.1,74.0,,99.31,13.0
89,2018-01-04 17:00,-7.1,72.0,,99.18,14.0
90,2018-01-04 18:00,-7.2,71.0,,99.04,22.0
91,2018-01-04 19:00,-7.3,70.0,,98.98,22.0
92,2018-01-04 20:00,-7.8,73.0,,98.98,13.0
93,2018-01-04 21:00,-8.5,80.0,,98.9,15.0
94,2018-01-04 22:00,-9.2,75.0,,98.78,16.0
95,2018-01-04 23:00,-10.5,65.0,,98.79,20.0
96,2018-01-05 00:00,-12.4,68.0,,98.71,16.0
97,2018-01-05 01:00,-14.7,65.0,,98.66,13.0
98,2018-01-05 02:00,-16.5,69.0,,98.7,19.0
99,2018-01-05 03:00,-17.2,67.0,,98.75,17.0
100,2018-01-05 04:00,-17.9,69.0,,98.79,18.0
101,2018-01-05 05:00,-18.4,67.0,,98.84,23.0
102,2018-01-05 06:00,-19.2,71.0,,98.9,17.0
103,2018-01-05 07:00,-20.1,71.0,,98.95,19.0
104,2018-01-05 08:00,-20.9,70.0,,99.02,24.0
105,2018-01-05 09:00,-21.2,66.0,,99.07,25.0
106,2018-01-05 10:00,-21.0,65.0,,99.14,21.0
107,2018-01-05 11:00,-20.5,62.0,,99.12,24.0
108,2018-01-05 12:00,-19.9,60.0,,99.13,18.0
109,2018-01-05 13:00,-19.4,58.0,,99.15,17.0
110,2018-01-05 14:00,-19.2,57.0,,99.21,28.0
111,2018-01-05 15:00,-19.3,57.0,,99.32,23.0
112,2018-01-05 16:00,-19.6,60.0,,99.37,23.0
113,2018-01-05 17:00,-19.9,61.0,,99.46,29.0
114,2018-01-05 18:00,-20.1,60.0,,99.54,23.0
115,2018-01-05 19:00,-20.4,58.0,,99.62,19.0
116,2018-01-05 20:00,-20.8,60.0,,99.71,24.0
117,2018-01-05 21:00,-21.3,60.0,,99.74,20.0
118,2018-01-05 22:00,-21.9,58.0,,99.77,24.0
119,2018-01-05 23:00,-22.3,57.0,,99.84,21.0
120,2018-01-06 00:00,-22.7,58.0,,99.89,25.0
121,2018-01-06 01:00,-22.9,60.0,,99.93,18.0
122,2018-01-06 02:00,-23.2,58.0,,99.99,19.0
123,2018-01-06 03:00,-23.6,62.0,,100.06,21.0
124,2018-01-06 04:00,-23.7,62.0,,100.14,22.0
125,2018-01-06 05:00,-23.6,63.0,,100.19,16.0
126,2018-01-06 06:00,-23.5,59.0,,100.29,20.0
127,2018-01-06 07:00,-23.3,56.0,,100.37,21.0
128,2018-01-06 08:00,-23.2,55.0,,100.47,19.0
129,2018-01-06 09:00,-23.0,56.0,,100.56,17.0
130,2018-01-06 10:00,-22.4,54.0,,100.64,25.0
131,2018-01-06 11:00,-21.4,52.0,,100.72,14.0
132,2018-01-06 12:00,-20.1,53.0,,100.8,13.0
133,2018-01-06 13:00,-20.0,48.0,,100.88,23.0
134,2018-01-06 14:00,-19.9,45.0,,101.01,15.0
135,2018-01-06 15:00,-20.1,47.0,,101.16,17.0
136,2018-01-06 16:00,-20.3,45.0,,101.3,17.0
137,2018-01-06 17:00,-20.9,50.0,,101.44,14.0
138,2018-01-06 18:00,-21.6,50.0,,101.57,12.0
139,2018-01-06 19:00,-23.0,55.0,,101.65,9.0
140,2018-01-06 20:00,-22.6,54.0,,101.76,13.0
141,2018-01-06 21:00,-23.2,56.0,,101.83,6.0
142,2018-01-06 22:00,-23.8,58.0,,101.88,10.0
143,2018-01-06 23:00,-25.1,59.0,,101.9,8.0
144,2018-01-07 00:00,-23.9,59.0,,101.92,12.0
145,2018-01-07 01:00,-24.3,61.0,,102.0,10.0
146,2018-01-07 02:00,-25.0,64.0,,102.09,16.0
147,2018-01-07 03:00,-24.9,65.0,,102.11,14.0
148,2018-01-07 04:00,-25.5,67.0,,102.15,15.0
149,2018-01-07 05:00,-25.9,68.0,,102.16,13.0
150,2018-01-07 06:00,-26.4,69.0,,102.19,15.0
151,2018-01-07 07:00,-27.1,71.0,,102.26,11.0
152,2018-01-07 08:00,-26.7,72.0,,102.28,11.0
153,2018-01-07 09:00,-25.9,68.0,,102.27,10.0
154,2018-01-07 10:00,-24.3,64.0,,102.28,14.0
155,2018-01-07 11:00,-23.4,63.0,,102.13,13.0
