"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2016-06-01 00:00","2016","06","01","00:00","16.1","","7.7","","57","","0.0","","2","","18","","","","101.45","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2016-06-01 01:00","2016","06","01","01:00","15.8","","7.8","","59","","0.0","","3","","16","","","","101.52","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2016-06-01 02:00","2016","06","01","02:00","15.4","","8.0","","61","","0.0","","3","","16","","","","101.58","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2016-06-01 03:00","2016","06","01","03:00","15.1","","7.9","","62","","0.0","","3","","19","","","","101.60","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2016-06-01 04:00","2016","06","01","04:00","14.1","","8.2","","68","","0.0","","2","","15","","","","101.66","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2016-06-01 05:00","2016","06","01","05:00","13.8","","8.2","","69","","0.0","","3","","17","","","","101.73","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2016-06-01 06:00","2016","06","01","06:00","14.2","","8.2","","67","","0.0","","3","","20","","","","101.79","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2016-06-01 07:00","2016","06","01","07:00","15.1","","7.9","","62","","0.0","","4","","17","","","","101.84","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2016-06-01 08:00","2016","06","01","08:00","16.4","","8.8","","61","","0.0","","5","","15","","","","101.83","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2016-06-01 09:00","2016","06","01","09:00","17.9","","8.8","","55","","0.0","","4","","9","","","","101.84","","","","","","NA"
